treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
1,37,11,1,0,1,1,0.0,0.0,9930.05
1,22,9,0,1,0,1,0.0,0.0,3595.89
1,30,12,1,0,0,0,0.0,0.0,24909.5
1,27,11,1,0,0,1,0.0,0.0,7506.15
1,33,8,1,0,0,1,0.0,0.0,289.79
1,22,9,1,0,0,1,0.0,0.0,4056.49
1,23,12,1,0,0,0,0.0,0.0,0.0
1,32,11,1,0,0,1,0.0,0.0,8472.16
1,22,16,1,0,0,0,0.0,0.0,2164.02
1,33,12,1,0,0,0,0.0,0.0,12418.1
1,20,11,0,0,0,1,0.0,0.0,0.0
1,21,10,1,0,0,1,0.0,0.0,9500.0
1,26,12,0,0,0,0,0.0,0.0,9.93
1,24,10,1,0,0,1,0.0,0.0,4687.62
1,43,13,1,0,1,0,0.0,0.0,25564.7
1,24,12,1,0,0,0,0.0,0.0,11884.8
1,18,8,1,0,0,1,0.0,0.0,0.0
1,33,12,1,0,1,0,0.0,0.0,18368.6
1,26,11,1,0,0,1,0.0,0.0,3165.72
1,28,12,1,0,0,0,0.0,0.0,15186.3
1,22,12,1,0,0,0,0.0,0.0,5863.67
1,18,11,1,0,0,1,0.0,0.0,6067.53
1,19,12,1,0,0,0,0.0,0.0,6442.23
1,22,11,1,0,0,1,0.0,0.0,7432.85
1,30,11,1,0,1,1,0.0,0.0,8947.03
1,24,12,1,0,0,0,0.0,0.0,14075.2
1,25,12,1,0,1,0,0.0,0.0,17878.2
1,23,12,1,0,0,0,0.0,0.0,6385.41
1,18,8,1,0,0,1,0.0,0.0,0.0
1,29,9,1,0,0,1,0.0,0.0,8601.3
1,25,12,1,0,0,0,0.0,0.0,9333.02
1,20,11,1,0,0,1,0.0,0.0,0.0
1,26,11,1,0,0,1,0.0,0.0,21862.3
1,25,12,1,0,0,0,0.0,0.0,5574.32
1,21,11,1,0,0,1,0.0,0.0,9166.75
1,25,11,1,0,0,1,0.0,0.0,24909.5
1,21,13,1,0,0,0,0.0,0.0,18108.8
1,26,12,1,0,0,0,0.0,0.0,10797.9
1,30,12,1,0,0,0,0.0,0.0,17330.6
1,19,11,1,0,0,1,0.0,0.0,11160.7
1,22,11,1,0,0,1,0.0,0.0,4854.71
1,27,11,1,0,0,1,0.0,0.0,7730.76
1,28,9,1,0,0,1,0.0,0.0,15670.8
1,19,12,1,0,0,0,0.0,0.0,0.0
1,25,13,1,0,0,0,0.0,0.0,24862.0
1,20,11,1,0,0,1,0.0,0.0,0.0
1,19,11,1,0,0,1,0.0,0.0,0.0
1,23,12,1,0,0,0,0.0,0.0,25862.3
1,24,10,1,0,0,1,0.0,0.0,7160.03
1,25,11,1,0,1,1,0.0,0.0,15672.0
1,19,12,1,0,0,0,0.0,0.0,0.0
1,27,12,1,0,0,0,0.0,0.0,12510.5
1,25,11,1,0,0,1,0.0,0.0,4914.82
1,23,12,1,0,0,0,0.0,0.0,18276.1
1,26,11,1,0,0,1,0.0,0.0,9455.19
1,20,11,1,0,0,1,0.0,0.0,0.0
1,29,12,1,0,0,0,0.0,0.0,16614.4
1,21,10,1,0,0,1,0.0,0.0,7857.45
1,24,10,1,0,0,1,0.0,0.0,11527.9
1,26,12,1,0,0,0,0.0,0.0,12210.2
1,27,12,1,0,0,0,0.0,0.0,17859.9
1,24,8,1,0,0,1,0.0,0.0,11876.7
1,19,11,1,0,0,1,0.0,0.0,0.0
1,22,12,1,0,0,0,0.0,0.0,18439.5
1,25,12,1,0,0,0,0.0,0.0,12548.9
1,32,9,1,0,0,1,0.0,0.0,14710.8
1,25,12,1,0,0,0,0.0,0.0,19596.5
